input_row_key,input_company_name,matched_veridion_id,match_score,status
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,26e22210-93e5-11eb-b997-8dd98d09cf25,81.59,MATCHED
1,2OPERATE A/S,8b99ef83-93e4-11eb-b997-8dd98d09cf25,92.78,MATCHED
2,3 STEP IT A/S,45309031-f8ab-11ed-89fe-613148a94f23,96.25,MATCHED
5,"3DEGREES GROUP, INC.",df61d790-93e4-11eb-aa66-9b8d95e2171b,100.0,MATCHED
6,3Step IT Group Oy,359bd116-93e5-11eb-b5f6-816dd10ac7b0,100.0,MATCHED
7,A.T. KEARNEY AB,e8a0c2c0-2d40-11ed-8056-51d6fec0e25c,83.8,MATCHED
8,A. T. KEARNEY PTE. LTD,3bd57537-967f-11eb-a6b4-898f90f73868,77.5,MATCHED
9,AALBORG CITY,272b8711-93e5-11eb-8e19-198fb02d6f96,100.0,MATCHED
10,ACCENTURE SERVICES AS,,61.48,UNMATCHED (Low Confidence)
11,Accutics ApS,347c7e63-93e5-11eb-90d2-e3355a7e800b,79.14,MATCHED
12,ACOME,fed105d4-93e4-11eb-9937-4fab995bf8ff,100.0,MATCHED
13,"ACOME XINTAI CABLES CO., LTD.",1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,72.14,MATCHED
14,ADAPT A/S,e8772100-93e4-11eb-b5f6-816dd10ac7b0,100.0,MATCHED
15,ADECCO A/S,,67.0,UNMATCHED (Low Confidence)
16,ADECCO PERSONNEL PTE LTD,410a4cc3-93e5-11eb-9937-4fab995bf8ff,100.0,MATCHED
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,099ed3a8-1afb-11ec-a882-057f42292856,82.0,MATCHED
18,ADVANCED DIGITAL BROADCAST SA,47b15560-93e5-11eb-91fb-73d498260b10,71.3,MATCHED
19,Advanced Network Solutions Sdn Bhd,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,100.0,MATCHED
20,ADVANSIA AS,a9f7869f-93e4-11eb-97db-273ba5953680,100.0,MATCHED
21,AEGER GROUP AS,2d7be421-93e5-11eb-be5a-4f810ab55f2e,85.0,MATCHED
22,AFFIRMED NETWORKS INC,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,100.0,MATCHED
23,Agg Power Technology (Fuzhou) Co Ltd.,e57dde30-93e4-11eb-8474-3bbe2d07207d,77.76,MATCHED
24,AIA Berhad,25f047fc-93e5-11eb-a736-0f5b20ecb2f1,81.47,MATCHED
25,AIG EUROPE S.A. NUF,379975dc-93e5-11eb-90d2-e3355a7e800b,94.38,MATCHED
26,AKTIESELSKABET RODOVRE CENTRUM,eab4a797-e56c-11ed-86c6-9fd2c95fb352,98.5,MATCHED
27,ALLEN OVERY SHEARMAN STERLING LLP,19609053-0bbc-11ee-900c-9bee0d280070,100.0,MATCHED
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,0c992f9f-0fd1-11ec-bd22-89bd160f55dd,70.71,MATCHED
29,"AMAZON WEB SERVICES, INC.",6be202b0-a899-11ed-a9cf-ff6a091ebade,95.71,MATCHED
30,AMAZON WEB SERVICES EMEA SARL,d7db1d69-93e4-11eb-90d2-e3355a7e800b,99.21,MATCHED
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",,67.86,UNMATCHED (Low Confidence)
32,AMDOCS DEVELOPMENT LIMITED,,46.36,UNMATCHED (Low Confidence)
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",,41.2,UNMATCHED (Low Confidence)
34,American Express Europe SA (Norway),d791fd63-e113-11ec-a72c-1538a9321a8e,86.67,MATCHED
35,ANALYSYS MASON AS,e97d1f55-93e4-11eb-be3a-7f925cb94351,73.33,MATCHED
36,MASON SITE FINDER LIMITED,,59.88,UNMATCHED (Low Confidence)
37,ANDCO A/S,d7aa707f-93e4-11eb-9937-4fab995bf8ff,100.0,MATCHED
38,Annalect Denmark A/S,cfc5f77c-ce95-11ed-953a-9d8f156b9731,95.0,MATCHED
39,Anne Mette Lund,02e56300-fff5-11eb-ba37-0759ad39afe6,70.0,MATCHED
40,ANRITSU A/S,,51.25,UNMATCHED (Low Confidence)
41,Aon Assessment Denmark A/S,bf876480-93e4-11eb-8474-3bbe2d07207d,71.0,MATCHED
42,AON NORWAY AS,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,100.0,MATCHED
43,APPDYNAMICS UK LTD,1b534d18-93e5-11eb-be3a-7f925cb94351,79.01,MATCHED
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,72b33d10-1afd-11ec-9842-212d1c52ad77,100.0,MATCHED
46,Apple Malaysia Sdn. Bhd.,50c0e708-22bf-11ec-9024-ef7bc13965aa,100.0,MATCHED
