input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,veridion_id,company_name,company_legal_names,company_commercial_names,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,locations,num_locations,company_type,year_founded,revenue,revenue_type,employee_count,employee_count_type,generated_description,generated_business_tags,short_description,long_description,business_tags,naics_2022_primary_code,naics_2022_primary_label,naics_2022_secondary_codes,naics_2022_secondary_labels,main_business_category,main_industry,main_sector,sics_codified_industry,sics_codified_industry_code,sics_codified_subsector,sics_codified_subsector_code,sics_codified_sector,sics_codified_sector_code,sic_codes,sic_labels,ibc_insurance_labels,isic_v4_codes,isic_v4_labels,nace_rev2_codes,nace_rev2_labels,ibc_insurance_codes,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_tld,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,tiktok_url,technologies,created_at,last_updated_at
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,26e22210-93e5-11eb-b997-8dd98d09cf25,New Millennium Network,New Millennium Network Private Limited | MNET Services Private Limited,New Millennium Network,PK,Pakistan,Sindh,Karachi,74400,,,,,"PK, Pakistan, Sindh, Karachi, 74400, , , 24.8546842, 67.0207055",1.0,Private,2001.0,311793.0,modelled,23.0,extracted,"MNET, incorporated in 2001, is a Pakistani company that specializes in providing a secure electronic inter-bank connectivity platform for online financial transactions. As the pioneer of electronic financial transaction processing in Pakistan, MNET focuses on industry best practices and technology based on international standards. The company offers value-added services such as bill payments, mobile top-ups, and funds transfer, as well as a managed services portfolio for the financial services sector, including card personalization and management. MNET provides a ""One Stop Shop"" for product/service development, deployment, and support, with a large network of ATMs and POS devices. They have expertise in plastics hosting and ATM controller services, and their technology platforms are backed by industry leaders like IBM, Euronet, ACI, and Oracle. Mnet also has strong channel alliances with utility companies for bill payment.",Mobile Top-up Services | Website Development | Managed Services Portfolio | Online Transactions | ATM Controllers | Straight-through Electronic Financial Transaction Processing | Card Personalization Services | Product Development and Deployment Support | Value Added Services | Electronic Inter-bank Connectivity Platform | Website Development Services | Funds Transfer Service | Bill Payment Services | Technology Services,"Incorporated in 2001, MNET is the first company in Pakistan to provide a secure electronic inter-bank connectivity platform for online financial transactions.","Incorporated in 2001, MNET is the first company in Pakistan to provide a secure electronic inter-bank connectivity platform for online financial transactions. As the pioneer of straight-through electronic financial transaction processing in Pakistan, the company is heavily focused on industry best practices as well as technology based on international standards. Over the years, MNET has broadened its focus to offer value added services (VAS) like bill payments, mobile top-ups, and funds transfer. MNET also offers managed services portfolio to the financial services sector including services such as card personalization and management. Following is the set of key products and services offered:* A ""One Stop Shop"" – Product / Service Development, Deployment, and Support under one roof * A significantly large network of ATMs and POS (Point of Sale) devices * Deep expertise in plastics (debit/credit) hosting as well as ATM Controller Services * Technology platforms backed by industry leaders like IBM, Euronet, ACI, and Oracle * Strong channel alliances with the largest number of utility companies for bill payment",Transfer Funds | Shop & Products | Managed Servers | Managed Services | Bill Payer | Financial Services Sector | Controller Services | Information Technology Services | Value Added Services,517810.0,All Other Telecommunications,,,Cable & Internet Providers,Telecommunication Services,IT&C Services,Media & Entertainment,SV-ME,Media,SV.1,Services,SV,7375 | 4899,"Information Retrieval Services (Internet service providers and Internet access providers) | Communications Services, NEC (except ship to shore broadcasting, satellite communications, pay telephone concession operators)",,6190,Other telecommunications activities,61.9,Other telecommunications activities,,923335055787.0,+923335055787,,,,https://www.mnet.com.pk/,mnet.com.pk,com.pk,en,,,,http://www.linkedin.com/company/mnet-services-private-limited,,,,,web servers: apache http server - 2 | javascript libraries: jquery - 2.2.4 | ui frameworks: bootstrap - 3.3.7 | font scripts: google font api | email: mailchimp | marketing automation: mailchimp,2020-02-25T14:47:51.000Z,2024-11-29T04:18:00.109Z
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,01004641-1dd8-11ef-9268-316fc8e174dd,Private Helipad Ali Villa,,Private Helipad Ali Villa,PK,Pakistan,Sindh,Karachi,74400,,,,,"PK, Pakistan, Sindh, Karachi, 74400, , , 25.036469200000003, 67.32050319999999",1.0,,,,,,,"The Private Helipad Ali Villa is a heliport located in Karachi, Sindh, Pakistan.",Air Transportation Services | Heliport Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29T16:24:11.019Z,2025-04-20T15:03:24.026Z
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,8266efc1-13e7-11ec-aa14-7bf90e1e10f1,24seven Research Network,,24seven Research Network,IN,India,Haryana,Faridabad,121001,Gurunanak Gali No. 3,3071,28.399704900000003,77.28620339999999,"IN, India, Haryana, Faridabad, 121001, Gurunanak Gali No. 3, 3071, 28.399704900000003, 77.28620339999999",1.0,Private,,518659.0,modelled,75.0,modelled,"24seven Research Network is a market research company based in Faridabad, Haryana. The company provides a comprehensive range of custom research solutions, including data collection, business and consumer research, online panel community management, survey programming, translations, data processing, and report writing. With a strong global presence, 24seven Research Network offers services across various industries such as retail, healthcare, manufacturing, e-commerce, financial services, transportation and logistics, hospitality, telecommunications, education, media, entertainment, and information technology. The company is known for its multi-lingual CATI center, extensive global coverage, and access to a large online panel of over 2 million members. They leverage proprietary databases, domain expertise, and a highly skilled team to deliver high-quality research projects and meet client expectations.",Market Research Services | Data Collection Services | Qualitative and Quantitative Research | Report Writing Services | Telephonic Surveys | Face To Face Interviews | Survey Programming | Translation Services | Highly Profiled Proprietary Databases | Online Panel and Community Services | Data Processing Services | In-Depth Interviews | Domain Experts | Lead Generation Services | End-to-end Customized Research | Global Network of Partners | Public Opinion Polling Services | Extensive and Diversified Experience of Resources | Ancillary Services,We are the fastest growing market research company globally and aspire to be most reliable research and consulting partner for clients by addressing their most critical challenges to help them transform their enterprise for a sustainable growth in a highly competitive and dynamic research industry.,"With a team of highly skilled, qualified and multilingual analysts who can conduct qualitative and quantitative research in various languages using our secondary research tools, over-the- time developed databases and state-of -the art infrastructure, we can conduct all types of telephonic surveys such as –. We have strong background in both qualitative and quantitative survey delivery across variety of domains such as IT, Telecom, Healthcare, Financial, Supply Chain etc. We provide end to end custom business research solutions, leveraging our domain expertise and access to world's best databases. We serve as a one shop for all the Research requirements. We have advanced programming expertise on various platforms with hosting facility such as ConfirmIT, Kinesis, ASP.net etc. We provide high quality data processing services to our clients with expertise in tools such as SPSS, SAS, Quantum, Wincross, Microsoft Excel and Access. We also create hand deliver high quality tabs in various formats and take care of any charting and reporting requirements as well.",,541910.0,Marketing Research and Public Opinion Polling,,,Market Research & Opinion Polling,Marketing & Advertising Agencies,Advertising & Marketing,Advertising & Marketing,SV-AD,Media,SV.1,Services,SV,8732,"Commercial Economic, Sociological, and Educational Research (market research and opinion research)",Strategic Consultants | Information Technology Consultants | Marketing Consultants | Operations Consultants | Management Consultants,7320,Market research and public opinion polling,73.2,Market research and public opinion polling,641406 | 641411 | 641405 | 641403 | 641401,919971139111.0,+919971139111,info@24sevenresearchnetwork.com,info@24sevenresearchnetwork.com,,https://24sevenresearchnetwork.com/,24sevenresearchnetwork.com,com,en,https://www.facebook.com/24seven-Research-Network-110274703981805%20/,https://twitter.com/Network24seven%20,,https://www.linkedin.com/company/51633612%20%20,,,,,,2021-09-12T05:28:48.000Z,2025-03-18T23:08:37.059Z
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,0183f0b2-93e5-11eb-be5a-4f810ab55f2e,EmerioSoft,,Emeriosoft | EMERIOSOFT Private L.T.D.,PK,Pakistan,Sindh,,75300,,,,,"PK, Pakistan, Sindh, , 75300, , , 24.904214207178548, 67.07824489733083 | PK, Pakistan, Sindh, Karachi Division, , , , 25.1387931, 67.40450219719324",2.0,Private,2012.0,2400000.0,extracted,46.0,extracted,"Emeriosoft is a company based in Karachi, Pakistan, operating in the fields of software development and design.",Hr Support | Information Technology Counseling | Help System | Business Change Support | SEO Services | IT Arrangements | Site Upkeep Arrangment | 541511 - Custom Computer Programming Services | Custom Software Solution | Blogging Administrations | Mobile App Development Services | Software Development Company | IT Solutions | Software Design And Development | Change Support | Content Composition | Web and Software Organization | Software Development Services | E-commerce Services | Design Agency | Free Websites | Web-based Services | Operational Support | Web Composition and Improvement | Wordpress Hosting,EmerioSoft is dedicated Web solutions & Website Development & Designing Company which is aimed to give wings to your business by online presence in the most effective way.,"Brand Identity 'We are a Digital Agency that offers web solutions, Digital Marketing, Software Solutions. At Emeriosoft we run our business with one single focus in mind - you the customer. Our philosophy is very simple; Customer Care, Customer Satisfaction and Customer Support. Emeriosoft provides services ranging from Web-Design and Development to the SEO and online marketing. Emeriosoft aims to render value added services to Pakistan and international market. We care for our employees and collaborate with our clients to deliver value driven products and services. Our vision is"" ""to become leading IT outsourcer by delivering state-of-art solutions and excellent services to our Clients through out the world."" Learn more. Our aim is to provide suite of products and services, which enables clients to strengthen their internal control and improve their governance. Our mission is: ""to become trusted partners of our clients and helping them to enhance their business performance by providing them State -of-art software solution"" Learn more.",IT Management | Website Designing | Website Seo Services | E-Commerce Solutions | Digital Marketing | Website Design And Development | Website Development | Mobile Applications | Application Re Engineering | Web Design And Development,541511.0,Custom Computer Programming Services,,,Web Development Agencies,Digital Agencies,Advertising & Marketing,Software & IT Services,TC-SI,Technology,TC.1,Technology & Communications,TC,7371,Computer Programming Services,Software Developers (Pre-Packaged) | Software Developers (Custom) | Information Technology Consultants | Technology Customer Support Services (For others) | Management Consultants,6201,Computer programming activities,62.01,Computer programming activities,891801 | 891802 | 641411 | 740809 | 641401,922134814455.0,+922134814455,hr@emeriosoft.com,hr@emeriosoft.com | info@emeriosoft.com,,https://www.emeriosoft.com/,emeriosoft.com,com,en,https://www.facebook.com/emerioSoft/,https://twitter.com/emeriosoft,,https://www.linkedin.com/company/emeriosoft,,,,,miscellaneous: popper | maps: google maps | programming languages: php - 7.3.33 | live chat: tawk.to | ui frameworks: bootstrap - 4.1.3 | javascript libraries: core-js - 3.32.1 | miscellaneous: http/3 | javascript graphics: particles.js | miscellaneous: open graph | javascript libraries: jquery - 3.3.1 | javascript libraries: fancybox | javascript libraries: isotope | cdn: cloudflare,2020-05-03T12:33:22.000Z,2025-03-31T16:16:58.462Z
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,87bb7cde-93e4-11eb-8474-3bbe2d07207d,Asiatic Public Relations Network,Asiatic Public Relations Network Private Limited,Asiatic Public Relations Network | Asiatic Public Relations | APR,PK,Pakistan,Sindh,Karachi Division,75600,Nehr-e-Khayyam Street,,,,"PK, Pakistan, Sindh, Karachi Division, 75600, Nehr-e-Khayyam Street, , 24.8250493, 67.02995 | PK, Pakistan, Punjab, Lahore, 57760, Main Boulevard Gulberg, , 31.5248742, 74.3496081 | PK, Pakistan, Islamabad Capital Territory, Islamabad, 44000, , , 33.6938118, 73.0651511",3.0,Private,1963.0,129640.0,modelled,28.0,extracted,"Asiatic Public Relations Network, legally known as Asiatic Public Relations Network Private Limited, is a public relations agency based in Karachi, Pakistan. Founded in 1963 as a media unit within Asiatic Advertising, it became an independent PR company in 1992. APR is affiliated with Hill+Knowlton Strategies, the world's first public relations agency established in 1927, and is a wholly-owned subsidiary of the W.P.P. Group PLC. The company offers a comprehensive range of PR and communication services, including media services, issue and crisis management, digital PR, strategic writing, stakeholder engagement, event management, CSR and sustainability, trainings, audio-visual production, and creative design. APR operates with offices in Karachi, Lahore, and Islamabad, and has resident representatives in Multan, Quetta, and Peshawar, providing nationwide coverage.",Crisis Management Services | Press Release Services | Publishing Services | Creative and Proactive Solutions | Public Relations Agency Services | Media Services | PR and Communications Services | Digital Division Services | Relationship Excellence | Issue & Crisis Management,"The leading communications and public relations agency in Pakistan, affiliated internationally with H+K Strategies, the world’s first PR agency, established in 1927.","Asiatic Public Relations Network (Private) Limited – APR – grew out of being a small department mainly dealing with the media within Asiatic Advertising (now JWT Pakistan) founded in 1963, into an independent PR company in 1992. As such our history goes back nearly 50 years. Since then the Company has grown steadily into becoming one of the leading communications and public relations agencies in Pakistan, affiliated internationally with Hill & Knowlton. APR is a specialized public relations firm with a blue-chip clientele and a proven capability. We believe in proactive and creative solutions, leading to Relationship Excellence between our clients and their audiences. Our head office is located in the business hub of the country, the teeming metropolis of Karachi. Other offices are in Lahore and in the federal capital city, Islamabad, enabling us to offer a countrywide coverage to our clients.",Public Relations | Communications and Public Affairs Services | Public Relations Firms,541820.0,Public Relations Agencies,,,Public Relations Agencies,Marketing & Advertising Agencies,Advertising & Marketing,Professional & Commercial Services,SV-PS,Consumer Services,SV.3,Services,SV,8743,Public Relations Services,,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,,922135372402.0,+924235758896 | +922135837674 | +92512204114 | +922135867576 | +922135372402,info@apr.com.pk,info@apr.com.pk,,https://apr.com.pk/,apr.com.pk,com.pk,en,https://www.facebook.com/asiaticpublicrelationsnetwork/,https://twitter.com/AsiaticPR,https://www.instagram.com/asiaticpublicrelations/,https://www.linkedin.com/company/asiaticpublicrelations,,,https://www.youtube.com/channel/UClKgHvHIuOu4KeglEo-i-xg,,miscellaneous: babel | javascript libraries: core-js | miscellaneous: rss | javascript libraries: aos | ui frameworks: bootstrap | seo: yoast seo | databases: mysql | web servers: apache http server | cms: wordpress | blogs: wordpress | javascript libraries: jquery | form builders: contact form 7 | font scripts: twitter emoji (twemoji) | wordpress plugins: yoast seo | programming languages: php | javascript libraries: jquery migrate | wordpress plugins: contact form 7 | analytics: google analytics,2020-02-19T03:58:25.000Z,2024-11-25T11:35:47.963Z
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,0273e4e5-c273-11ec-83ff-c5dd0998ee52,Accentures,Accenture Dienstleistungen GmbH,Accentures,IE,Ireland,Leinster,Dublin 2,,,,,,"IE, Ireland, Leinster, Dublin 2, , , , 53.338971400000005, -6.252678799450818",1.0,Private,2019.0,,,,,"Accentures, legally known as Accenture Dienstleistungen GmbH, based in Washington, District of Columbia, is a global management consulting firm. The company offers a wide range of services including strategy consulting, technology consulting, digital engineering, business operations management, and digital manufacturing. Accenture serves various industries such as aerospace and defense, automotive, banking, capital markets, chemicals, communications and media, consumer goods and services, energy, healthcare, high tech, insurance, life sciences, natural resources, public service, private equity, retail, software and platforms, travel, and utilities. The firm is recognized for its commitment to innovation, people, and sustainability, and has been recognized as a top management consulting firm by Forbes.",Digital Manufacturing Services | Artificial Intelligence Solutions | Strategy Consulting Services | Metaverse Solutions | Sustainability Services | Cybersecurity Solutions | Customer Experience Services | Capital Projects and Infrastructure Services | Business Process Outsourcing Services | Interactive Services | Enterprise Solutions Platform | Accommodation Search | Financial Consulting for Various Sectors | Change Management Services | Data and Artificial Intelligence | Future of Work Solutions | Corporate Finance Consulting | Data and Artificial Intelligence Services | Supply Chain Solutions | Financial Risk Solutions | Emerging Technology Services | Cloud Computing Solutions | Learning Services | Marketing Solutions for Experiences | Agility Solutions | Strategic Management Services | Sales Solutions for E-commerce | Marketing Experience Services | Application Services | Digital Commerce,"Accenture brings a wide range of capabilities, industry expertise & partners to help build your digital core, optimize operations & accelerate growth. Learn more.","Our wide range of capabilities, ecosystem partnerships and unmatched industry expertise can help your business become the next best version of itself. Every day, cloud computing becomes more integral in driving reinvention, and meeting the ever-changing needs of people around the world. AI is more accessible than ever, and it's rapidly transforming enterprises and the ways we live and work. Use data, digital and AI to increase resiliency and productivity and improve security and sustainability across the value chain. In a rapidly changing world, embrace emerging technology to transform and achieve greater efficiency, effectiveness, and breakthrough innovation. Adapt at speed with integrated platforms and applications that bring new industry and function capabilities, leverage data and AI, and empower your people to deliver more value. Amid intensifying market disruptions and escalating business volatility, there's more pressure on Chief Financial Officers (CFOs) and Chief Risk Officers (CROs) to balance multiple interconnected transformations while sustaining company performance, profitability and safety.",Life Sciences | Consumer Goods & Services | Aerospace And Defense | Cyber Securities | Strategic Management | Natural Resources | Capital Markets | Private Equity | Enterprise Platform | Marketing Services,541611.0,Administrative Management and General Management Consulting Services,,,Business Consulting,Business Consulting,Other Professional Services,Professional & Commercial Services,SV-PS,Consumer Services,SV.3,Services,SV,8742,Management Consulting Services (administrative management and general management consulting),Building Owner - Multiple Occupancy - Mixed-Use Commercial | Building Owner - Multiple Occupancy - Warehouse / Wholesale | Building Owner - Multiple Occupancy - Office | Building Owner - Multiple Occupancy - Retail (Not Enclosed Mall) | Insurance Agents / Brokers / Adjusters,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,399101 | 663301 | 651101 | 529101 | 641201,919052000701.0,+447952594784 | +4961739498 | +19174524421 | +16303386426 | +19174520845 | +18582528208 | +19174524417 | +35314078203 | +19735909920 | +19174529878 | +17039474404 | +19174527714 | +17039472571 | +17039485162 | +6583460316 | +4961739499 | +13012500660 | +447500974814 | +919052000701 | +13126930188 | +442045250485 | +19174526561,investor.relations@accenture.com,,,http://logindetails.info/,logindetails.info,info,en,https://www.facebook.com/accenture/,https://twitter.com/Accenture_US,https://www.instagram.com/accenture/,https://www.linkedin.com/company/accenture,https://apps.apple.com/in/app/accenture-foresight/id1570610876,https://play.google.com/store/apps/details?id=com.accenture.tlapp,https://www.youtube.com/accenture,,javascript libraries: lodash | javascript libraries: lit-html | cms: adobe experience manager | wordpress themes: astra | miscellaneous: rss | javascript frameworks: adobe client data layer | web servers: empathy platform | javascript libraries: swiper | security: recaptcha | javascript frameworks: stimulus | ssl/tls certificate authorities: digicert | tag managers: adobe experience platform launch | seo: yoast seo | widgets: css | cdn: cdnjs | miscellaneous: pwa | font scripts: google font api | miscellaneous: lottiefiles | security: hsts | miscellaneous: http/3 | databases: mysql | advertising: doubleclick floodlight | cms: site.com | miscellaneous: open graph | cookie compliance: onetrust | network devices: html | miscellaneous: jquery easing | paas: cloudways | network devices: html5 | miscellaneous: facebook | javascript frameworks: gsap | cms: wordpress | blogs: wordpress | miscellaneous: linkedin | analytics: google campaign manager 360 | javascript libraries: jquery | cms: adobe experience manager (aem) | widgets: javascript | javascript libraries: lit-element | cdn: cloudflare | wordpress plugins: yoast seo | programming languages: php | javascript libraries: jquery migrate | advertising: google adsense | miscellaneous: instagram | javascript libraries: flickity | programming languages: java,2021-08-31T08:46:58.000Z,2024-12-19T12:04:51.000Z
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,0357e142-1597-11ee-812a-77c4c37edeba,Accenture Bratislava Campus Office,,Accenture Bratislava Campus Office | Accenture,SK,Slovakia,Region Of Bratislava,Bratislava,821 09,Plynárenská,5944/7C,48.1450532,17.143151899999996,"SK, Slovakia, Region of Bratislava, Bratislava, 841 04, Ilkovičova, 2961/3, 48.151853200000005, 17.0733446 | SK, Slovakia, Region of Bratislava, Bratislava, 821 09, Plynárenská, 5944/7C, 48.1450532, 17.143151899999996 | SK, Slovakia, Region of Košice, Košice, 040 01, Protifašistických bojovníkov, 11, 48.7184919, 21.264606399999998",3.0,Private,,,,,,"The Accenture Bratislava Campus Office is a business management consulting firm located in Bratislava, Slovakia.",Management Consulting Services | Administrative Services | Organizational Development Services,"Accenture Bratislava Campus Office is a business consulting company based in Bratislava, Slovakia.",,,541611.0,Administrative Management and General Management Consulting Services,,,Business Consulting,Business Consulting,Other Professional Services,,,,,,,8742,Management Consulting Services (administrative management and general management consulting),,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,,421259290290.0,+421259290290,,,,,,,,,,,,,,,,,2021-08-18T13:02:56.000Z,2025-04-01T01:33:36.829Z
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,00cf38f4-f8ab-11ed-8629-7d5d4c8e5628,Accenture,,Accenture,MU,Mauritius,Mauritius,Quatre Bornes,72208,Ebene City Boulevard,,,,"MU, Mauritius, Mauritius, Quatre Bornes, 72208, Ebene City Boulevard, , -20.2452272, 57.49181009999999",1.0,Private,,,,,,Accenture is a business management consulting firm.,Management Consulting Services,"Accenture is a business consulting company based in Quatre Bornes, Mauritius.",,,541611.0,Administrative Management and General Management Consulting Services,,,Business Consulting,Business Consulting,Other Professional Services,,,,,,,8742,Management Consulting Services (administrative management and general management consulting),,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,,2304045760.0,+2304045760,,,,,,,,,,,,,,,,,2023-05-22T14:12:46.484Z,2025-04-17T19:32:55.728Z
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,,Accenture Norge,NO,Norway,Oslo,Oslo,0158,Rådhusgata,27,59.9111949,10.7362558,"NO, Norway, Oslo, Oslo, 0158, Rådhusgata, 27, 59.9111949, 10.7362558 | NO, Norway, Rogaland, Sandnes, 4313, Grenseveien, 21, 58.88867149999999, 5.7182813 | NO, Norway, Vestland, Bergen, 5020, Solheimsgaten, 11, 60.37706, 5.334677000000001 | NO, Norway, Viken, Bærum, 1364, Rolfsbuktveien, 2, 59.89540890000001, 10.6262864 | NO, Norway, Trøndelag, Trondheim, 7010, Pir I, , 63.442703300000005, 10.4031586",5.0,Private,,,,,,"Accenture is a business management consulting firm based in Bergen, Norway. The company operates within the business management consulting industry and requires customers to be equipped with masks and temperature checks.",Management Consulting Services | Administrative Services | Administrative Management | Corporate Office Solutions | Organizational Change Services,"Accenture Norge is a business consulting company based in Oslo, Norway.",,,541611.0,Administrative Management and General Management Consulting Services,,,Business Consulting,Business Consulting,Other Professional Services,,,,,,,8742,Management Consulting Services (administrative management and general management consulting),,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,,4767126700.0,+4767126700,,,,https://www.accenture.no/,accenture.no,no,,https://www.facebook.com/AccentureNorge/,,,,,,,,,2021-08-18T09:56:01.000Z,2025-04-08T01:19:27.796Z
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,0358900e-f20b-11ee-81a6-a9eee5edcb22,Accenture,,Accenture,CA,Canada,Quebec,Montreal,H3B 2G2,Esplanade Place Ville Marie,5,45.5008632,-73.5693496,"CA, Canada, Quebec, Montreal, H3B 2G2, Esplanade Place Ville Marie, 5, 45.5008632, -73.5693496",1.0,Private,,,,,,"Accenture is a business management consulting firm based in Montreal, Quebec, Canada. The company operates within the business management consulting industry and is known for its global presence and diverse workforce, including over 200,000 employees worldwide.",Consulting Services | Management Consulting Services,"Accenture is a business consulting company based in Montreal, Quebec, Canada.",,,541611.0,Administrative Management and General Management Consulting Services,,,Business Consulting,Business Consulting,Other Professional Services,,,,,,,8742,Management Consulting Services (administrative management and general management consulting),,7020,Management consultancy activities,70.21 | 70.22,Public relations and communication activities | Business and other management consultancy activities,,15148481648.0,+15148481648,,,,,,,,,,,,,,,,,2024-04-03T22:38:11.377Z,2025-03-29T09:52:23.319Z
